strategy,breakout_atr_mult,stop_atr_mult,vol_mult,max_range_pct,total_trades,win_rate,profit_factor,avg_r,max_dd,total_return,sharpe,final_balance
momentum,0.5,3.0,2.5,0.03,149,32.21,0.95,-0.0336,46.53,-14.58,-0.38,85.42
momentum,0.5,3.0,2.5,0.04,152,32.24,0.95,-0.0329,46.54,-14.75,-0.37,85.25
momentum,0.6,2.5,2.5,0.04,140,32.14,0.95,-0.0357,41.42,-14.27,-0.4,85.73
momentum,0.6,3.0,2.0,0.03,168,32.14,0.95,-0.0357,41.62,-16.94,-0.4,83.06
momentum,0.3,3.0,2.0,0.03,206,32.04,0.94,-0.0388,47.68,-21.34,-0.44,78.66
momentum,0.3,3.0,2.0,0.04,212,32.08,0.94,-0.0377,44.59,-21.49,-0.43,78.51
momentum,0.4,3.0,1.3,0.04,263,31.94,0.94,-0.0418,58.16,-27.52,-0.47,72.48
momentum,0.5,3.0,2.5,0.05,156,32.05,0.94,-0.0385,47.61,-16.52,-0.44,83.48
momentum,0.6,2.5,2.5,0.05,144,31.94,0.94,-0.0417,42.05,-16.13,-0.47,83.87
momentum,0.4,2.5,1.5,0.03,242,31.82,0.93,-0.0455,59.2,-26.93,-0.52,73.07
momentum,0.4,3.0,2.0,0.04,199,31.66,0.93,-0.0503,45.71,-24.15,-0.57,75.85
momentum,0.4,3.0,2.0,0.05,202,31.68,0.93,-0.0495,46.44,-24.3,-0.56,75.7
momentum,0.5,2.5,2.0,0.04,195,31.79,0.93,-0.0462,44.2,-22.48,-0.52,77.52
momentum,0.5,3.0,2.0,0.05,195,31.79,0.93,-0.0462,46.67,-22.51,-0.52,77.49
momentum,0.6,2.5,2.0,0.03,173,31.79,0.93,-0.0462,38.28,-20.32,-0.53,79.68
momentum,0.4,3.0,2.0,0.03,191,31.41,0.92,-0.0576,47.35,-25.44,-0.66,74.56
momentum,0.5,3.0,2.0,0.04,190,31.58,0.92,-0.0526,46.67,-23.94,-0.6,76.06
momentum,0.5,2.5,2.0,0.03,186,31.18,0.91,-0.0645,47.36,-26.71,-0.74,73.29
momentum,0.5,2.5,1.5,0.03,219,31.05,0.9,-0.0685,53.42,-31.84,-0.78,68.16
momentum,0.5,3.0,2.0,0.03,181,30.94,0.9,-0.0718,49.25,-28.07,-0.82,71.93
