symbol,setup,direction,entry_dt,exit_dt,entry_price,stop_price,tp_price,exit_price,outcome,r_multiple,pnl_pct,balance_after
ETHUSDT,first5,short,2024-10-27T10:37:00-04:00,2024-10-27T10:45:00-04:00,2490.18,2493.4460999999997,2483.6478,2493.4460999999997,SL,-1.0,-1.0,9899.16
ETHUSDT,gap,long,2024-10-28T10:01:00-04:00,2024-10-28T10:02:00-04:00,2513.98,2510.334205,2521.27159,2510.334205,SL,-1.0,-1.0,9800.17
ETHUSDT,gap,long,2024-10-28T10:27:00-04:00,2024-10-28T10:45:00-04:00,2513.17,2508.42516,2522.6596800000007,2522.6596800000007,TP,2.0,2.0,9996.17
ETHUSDT,gap,short,2024-10-29T10:08:00-04:00,2024-10-29T10:09:00-04:00,2628.44,2629.85427,2625.6114600000005,2629.85427,SL,-1.0,-1.0,9896.21
ETHUSDT,gap,short,2024-10-29T11:27:00-04:00,2024-10-29T11:34:00-04:00,2632.82,2635.6671749999996,2627.1256500000013,2627.1256500000013,TP,2.0,2.0,10094.13
ETHUSDT,gap,short,2024-10-30T11:21:00-04:00,2024-10-30T11:22:00-04:00,2682.2,2682.910785,2680.7784299999994,2682.910785,SL,-1.0,-1.0,9993.19
ETHUSDT,first5,long,2024-10-30T12:47:00-04:00,2024-10-30T12:59:00-04:00,2694.63,2689.15475,2705.5805,2689.15475,SL,-1.0,-1.0,9893.26
ETHUSDT,premarket,short,2024-10-31T09:42:00-04:00,2024-10-31T09:48:00-04:00,2617.7,2622.3105,2608.4789999999994,2608.4789999999994,TP,2.0,2.0,10091.13
ETHUSDT,gap,long,2024-11-01T09:48:00-04:00,2024-11-01T10:13:00-04:00,2562.46,2553.132795,2581.11441,2581.11441,TP,2.0,2.0,10292.95
ETHUSDT,premarket,short,2024-11-02T10:02:00-04:00,2024-11-02T10:19:00-04:00,2476.64,2483.851305,2462.2173899999993,2483.851305,SL,-1.0,-1.0,10190.02
ETHUSDT,gap,long,2024-11-02T10:54:00-04:00,2024-11-02T10:57:00-04:00,2484.22,2481.7684950000003,2489.123009999999,2489.123009999999,TP,2.0,2.0,10393.82
ETHUSDT,gap,short,2024-11-03T10:42:00-05:00,2024-11-03T10:44:00-05:00,2425.84,2428.363575,2420.7928500000007,2428.363575,SL,-1.0,-1.0,10289.88
ETHUSDT,gap,short,2024-11-03T13:32:00-05:00,2024-11-03T13:34:00-05:00,2428.85,2432.4556199999997,2421.6387600000003,2432.4556199999997,SL,-1.0,-1.0,10186.98
ETHUSDT,gap,long,2024-11-04T09:49:00-05:00,2024-11-04T09:54:00-05:00,2453.84,2447.745515,2466.0289700000003,2447.745515,SL,-1.0,-1.0,10085.11
ETHUSDT,premarket,short,2024-11-04T10:23:00-05:00,2024-11-04T10:26:00-05:00,2441.75,2448.2235,2428.803,2448.2235,SL,-1.0,-1.0,9984.26
ETHUSDT,premarket,long,2024-11-05T09:38:00-05:00,2024-11-05T09:55:00-05:00,2468.75,2461.7784950000005,2482.693009999999,2461.7784950000005,SL,-1.0,-1.0,9884.42
ETHUSDT,gap,long,2024-11-05T10:38:00-05:00,2024-11-05T10:40:00-05:00,2443.4,2440.808985,2448.58203,2440.808985,SL,-1.0,-1.0,9785.58
ETHUSDT,first5,long,2024-11-06T11:02:00-05:00,2024-11-06T11:37:00-05:00,2643.8,2634.192245,2663.01551,2663.01551,TP,2.0,2.0,9981.29
ETHUSDT,gap,long,2024-11-06T12:08:00-05:00,2024-11-06T13:09:00-05:00,2654.6,2647.41563,2668.96874,2668.96874,TP,2.0,2.0,10180.92
ETHUSDT,gap,long,2024-11-07T09:39:00-05:00,2024-11-07T09:44:00-05:00,2806.4,2801.5385300000003,2816.1229399999997,2801.5385300000003,SL,-1.0,-1.0,10079.11
ETHUSDT,gap,long,2024-11-08T09:51:00-05:00,2024-11-08T09:52:00-05:00,2926.38,2921.288625,2936.56275,2921.288625,SL,-1.0,-1.0,9978.32
ETHUSDT,gap,long,2024-11-08T10:00:00-05:00,2024-11-08T10:02:00-05:00,2920.17,2917.6304550000004,2925.2490899999993,2925.2490899999993,TP,2.0,2.0,10177.89
ETHUSDT,first5,short,2024-11-09T09:41:00-05:00,2024-11-09T09:54:00-05:00,3034.81,3038.83866,3026.75268,3038.83866,SL,-1.0,-1.0,10076.11
ETHUSDT,gap,short,2024-11-09T11:15:00-05:00,2024-11-09T11:17:00-05:00,3034.6,3036.61755,3030.5649,3030.5649,TP,2.0,2.0,10277.63
ETHUSDT,gap,short,2024-11-10T10:42:00-05:00,2024-11-10T10:43:00-05:00,3206.53,3208.2032999999997,3203.1834000000013,3208.2032999999997,SL,-1.0,-1.0,10174.85
ETHUSDT,gap,short,2024-11-10T11:11:00-05:00,2024-11-10T11:12:00-05:00,3204.76,3206.932665,3200.414670000001,3206.932665,SL,-1.0,-1.0,10073.1
ETHUSDT,gap,short,2024-11-11T09:38:00-05:00,2024-11-11T09:45:00-05:00,3177.41,3190.2943499999997,3151.6413000000002,3151.6413000000002,TP,2.0,2.0,10274.56
ETHUSDT,first5,long,2024-11-12T09:49:00-05:00,2024-11-12T10:06:00-05:00,3285.96,3266.1461100000006,3325.587779999999,3266.1461100000006,SL,-1.0,-1.0,10171.81
ETHUSDT,gap,long,2024-11-12T10:23:00-05:00,2024-11-12T10:24:00-05:00,3266.43,3264.297035,3270.6959299999994,3264.297035,SL,-1.0,-1.0,10070.09
ETHUSDT,gap,long,2024-11-13T09:39:00-05:00,2024-11-13T09:52:00-05:00,3281.84,3259.4394650000004,3326.6410699999997,3326.6410699999997,TP,2.0,2.0,10271.49
ETHUSDT,gap,long,2024-11-13T10:12:00-05:00,2024-11-13T10:13:00-05:00,3299.02,3292.1531000000004,3312.753799999999,3292.1531000000004,SL,-1.0,-1.0,10168.78
ETHUSDT,first5,short,2024-11-14T09:36:00-05:00,2024-11-14T09:42:00-05:00,3173.6,3196.787595,3127.22481,3127.22481,TP,2.0,2.0,10372.16
ETHUSDT,gap,short,2024-11-14T11:52:00-05:00,2024-11-14T11:54:00-05:00,3155.54,3164.94168,3136.73664,3164.94168,SL,-1.0,-1.0,10268.44
ETHUSDT,gap,long,2024-11-15T15:51:00-05:00,2024-11-15T16:00:00-05:00,3084.8,3073.752355,3106.8952900000004,3088.04,EOD,0.293,0.2933,10298.55
ETHUSDT,gap,short,2024-11-16T10:02:00-05:00,2024-11-16T10:07:00-05:00,3167.04,3172.5454799999998,3156.0290400000004,3156.0290400000004,TP,2.0,2.0,10504.52
ETHUSDT,gap,long,2024-11-16T11:16:00-05:00,2024-11-16T11:45:00-05:00,3149.46,3142.757835,3162.8643300000003,3142.757835,SL,-1.0,-1.0,10399.47
ETHUSDT,first5,long,2024-11-17T09:52:00-05:00,2024-11-17T10:02:00-05:00,3091.41,3083.47749,3107.275019999999,3083.47749,SL,-1.0,-1.0,10295.48
ETHUSDT,gap,long,2024-11-17T10:36:00-05:00,2024-11-17T10:51:00-05:00,3095.95,3088.2151200000003,3111.419759999999,3088.2151200000003,SL,-1.0,-1.0,10192.53
ETHUSDT,gap,short,2024-11-18T10:05:00-05:00,2024-11-18T10:06:00-05:00,3092.14,3094.7465999999995,3086.9268000000006,3094.7465999999995,SL,-1.0,-1.0,10090.6
ETHUSDT,first5,short,2024-11-18T10:09:00-05:00,2024-11-18T10:14:00-05:00,3092.21,3097.0477499999997,3082.5345000000007,3097.0477499999997,SL,-1.0,-1.0,9989.69
