symbol,strategy,direction,entry_ms,exit_ms,entry_price,stop_price,tp_price,exit_price,qty,outcome,r_multiple,pnl_usdt,balance_before,balance_after
AAVEUSDT,volatility,short,1777165200000,1777178700000,93.26,93.78090093587092,92.21819812825818,93.78090093587092,6.38,SL,-1.0,-3.33,166.35,163.02
WLDUSDT,volatility,long,1777249800000,1777259700000,0.2611,0.2592116635235115,0.264876672952977,0.264876672952977,1726.5,TP,2.0,6.52,163.02,169.54
WLDUSDT,volatility,long,1777250700000,1777266000000,0.2622,0.26022154470040354,0.2661569105991929,0.26022154470040354,1713.8,SL,-1.0,-3.39,169.54,166.15
ONDOUSDT,volatility,long,1777252500000,1777266000000,0.2709,0.268832479956221,0.2750350400875579,0.268832479956221,1607.0,SL,-1.0,-3.32,166.15,162.83
AAVEUSDT,momentum,long,1777253400000,1777260600000,97.93,96.7641724258467,100.26165514830663,100.26165514830663,2.79,TP,2.0,6.51,162.83,169.34
AAVEUSDT,volatility,long,1777254300000,1777256100000,98.39,97.52022722514323,100.12954554971354,97.52022722514323,3.89,SL,-1.0,-3.39,169.34,165.95
HYPEUSDT,momentum,long,1777260600000,1777264200000,43.501,43.083345822657094,44.336308354685805,43.083345822657094,7.94,SL,-1.0,-3.32,165.95,162.63
BNBUSDT,volatility,short,1777266000000,1777266900000,633.3,635.5702819528516,628.7594360942967,628.7594360942967,1.43,TP,2.0,6.51,162.63,169.14
BNBUSDT,momentum,short,1777266900000,1777302000000,629.9,633.367968132102,622.964063735796,622.964063735796,0.97,TP,2.0,6.77,169.14,175.91
SKYUSDT,momentum,short,1777267800000,1777291200000,0.08568,0.08667946551180321,0.0836810689763936,0.08667946551180321,3520.0,SL,-1.0,-3.52,175.91,172.39
WLFIUSDT,volatility,short,1777268700000,1777272300000,0.07416,0.07458019522496029,0.07331960955007943,0.07331960955007943,8205.0,TP,2.0,6.9,172.39,179.29
BNBUSDT,momentum,short,1777271400000,1777455900000,625.6,629.4426367950715,617.914726409857,629.4426367950715,0.93,SL,-1.0,-3.59,179.29,175.7
SKYUSDT,momentum,long,1777291200000,1777300200000,0.08687,0.08588002802167073,0.08884994395665854,0.08884994395665854,3540.0,TP,2.0,7.03,175.7,182.73
XRPUSDT,volatility,short,1777293000000,1777297500000,1.4101,1.4144018118969268,1.401496376206146,1.401496376206146,849.5,TP,2.0,7.31,182.73,190.04
XRPUSDT,volatility,short,1777294800000,1777297500000,1.4087,1.413001562298881,1.4000968754022383,1.4000968754022383,883.5,TP,2.0,7.6,190.04,197.64
XRPUSDT,volatility,short,1777295700000,1777297500000,1.4061,1.4108657364203891,1.3965685271592214,1.3965685271592214,829.4,TP,2.0,7.91,197.64,205.55
XRPUSDT,volatility,short,1777297500000,1777300200000,1.401,1.4070362727298256,1.388927454540349,1.4070362727298256,681.0,SL,-1.0,-4.11,205.55,201.44
HYPEUSDT,volatility,long,1777298400000,1777302000000,42.645,42.34519381512834,43.24461236974333,42.34519381512834,13.43,SL,-1.0,-4.03,201.44,197.41
MORPHOUSDT,volatility,long,1777300200000,1777302000000,1.9547,1.9398144246247724,1.9844711507504555,1.9398144246247724,265.0,SL,-1.0,-3.95,197.41,193.46
BNBUSDT,volatility,short,1777302000000,1777302900000,623.8,626.0529937155798,619.2940125688403,619.2940125688403,1.71,TP,2.0,7.74,193.46,201.2
BNBUSDT,momentum,short,1777302900000,1777325400000,620.7,624.2894207907179,613.5211584185643,624.2894207907179,1.12,SL,-1.0,-4.02,201.2,197.18
WLFIUSDT,volatility,short,1777303800000,1777310100000,0.07226,0.07286561610247949,0.07104876779504103,0.07286561610247949,6511.0,SL,-1.0,-3.94,197.18,193.24
WLFIUSDT,volatility,short,1777306500000,1777310100000,0.07201,0.07261675968554936,0.0707964806289013,0.07261675968554936,6369.0,SL,-1.0,-3.86,193.24,189.38
AAVEUSDT,volatility,long,1777328100000,1777343400000,97.22,96.33315595855323,98.99368808289353,96.33315595855323,4.27,SL,-1.0,-3.79,189.38,185.59
AAVEUSDT,volatility,long,1777329000000,1777343400000,97.43,96.54221624722801,99.205567505544,96.54221624722801,4.18,SL,-1.0,-3.71,185.59,181.88
AAVEUSDT,momentum,long,1777329900000,1777343400000,97.88,96.70655344894897,100.22689310210205,96.70655344894897,3.09,SL,-1.0,-3.64,181.88,178.24
ONDOUSDT,momentum,long,1777331700000,1777345200000,0.2647,0.26280556541454453,0.2684888691709109,0.26280556541454453,1881.0,SL,-1.0,-3.56,178.24,174.68
ONDOUSDT,momentum,long,1777333500000,1777343400000,0.2662,0.2642308191584593,0.27013836168308136,0.2642308191584593,1774.0,SL,-1.0,-3.49,174.68,171.19
ASTERUSDT,volatility,long,1777420800000,1777424400000,0.6549,0.6517518911895978,0.6611962176208046,0.6611962176208046,1087.0,TP,2.0,6.85,171.19,178.04
MORPHOUSDT,volatility,long,1777423500000,1777431600000,1.973,1.9606503617726811,1.997699276454638,1.997699276454638,288.0,TP,2.0,7.12,178.04,185.16
MORPHOUSDT,volatility,long,1777424400000,1777431600000,1.9765,1.9642931930746323,2.0009136138507353,2.0009136138507353,303.0,TP,2.0,7.41,185.16,192.57
MORPHOUSDT,volatility,long,1777425300000,1777431600000,1.9798,1.967832964997873,2.003734070004254,2.003734070004254,321.0,TP,2.0,7.7,192.57,200.27
WLFIUSDT,momentum,short,1777426200000,1777433400000,0.07322,0.07360620031758042,0.07244759936483915,0.07360620031758042,10371.0,SL,-1.0,-4.01,200.27,196.26
